order_no	baseline_first	model_len	template_len	reviewer	revealed_at
BR-01-CANCEL-FULL	0	0	603	admin	2026-09-07 09:36:17.650557
BR-02-CANCEL-PARTIAL	1	0	734	admin	2026-09-07 09:37:01.046309
BR-03-UNKNOWN	0	117	511	admin	2026-09-07 09:37:15.480761
BR-04-VIRTUAL-ACC	0	120	472	admin	2026-09-07 09:37:29.782349
BR-05-RECON-DIFF	0	201	538	admin	2026-09-07 09:38:05.490497
BR-06-NO-INTERNAL	1	128	371	admin	2026-09-07 09:38:15.938551
BR-07-PG-DELAY	0	120	521	admin	2026-09-07 09:38:30.989685
BR-08-SUBSCRIPTION	0	137	646	admin	2026-09-07 09:38:45.392218
BR-09-DISPUTE	1	208	547	admin	2026-09-07 09:39:16.361684
BR-10-REFUNDING	0	149	605	admin	2026-09-07 09:39:41.354747
BR-11-THIN	1	129	362	admin	2026-09-07 09:39:55.659772
BR-12-DOUBLE-CHARGE	1	179	586	admin	2026-09-07 09:40:29.259819
