orderNo,sourceA,sourceB,choice,chosenSource,reviewer,chosenAt
BLIND-C01,model,template,A,model,beomsu,2026-09-07T09:45:03.497694Z
BLIND-C02,model,template,A,model,beomsu,2026-09-07T09:45:03.522503Z
BLIND-C03,model,template,A,model,beomsu,2026-09-07T09:45:03.533743Z
BLIND-C04,model,template,A,model,beomsu,2026-09-07T09:45:03.544172Z
BLIND-C05,template,model,A,template,beomsu,2026-09-07T09:45:03.552831Z
BLIND-C06,template,model,B,model,beomsu,2026-09-07T09:45:03.562180Z
BLIND-C07,template,model,B,model,beomsu,2026-09-07T09:45:03.569654Z
BLIND-C08,model,template,A,model,beomsu,2026-09-07T09:45:03.578610Z
BLIND-C09,template,model,B,model,beomsu,2026-09-07T09:45:03.585360Z
BLIND-C10,template,model,A,template,beomsu,2026-09-07T09:45:03.591555Z
BLIND-C11,model,template,A,model,beomsu,2026-09-07T09:45:03.600978Z
BLIND-C12,model,template,A,model,beomsu,2026-09-07T09:45:03.609885Z
BLIND-C13,template,model,B,model,beomsu,2026-09-07T09:45:03.617008Z
BLIND-C14,model,template,A,model,beomsu,2026-09-07T09:45:03.624359Z
BLIND-C15,model,template,A,model,beomsu,2026-09-07T09:45:03.631108Z
BLIND-C16,template,model,B,model,beomsu,2026-09-07T09:45:03.638098Z
BLIND-C17,model,template,A,model,beomsu,2026-09-07T09:45:03.645482Z
BLIND-C18,template,model,A,template,beomsu,2026-09-07T09:45:03.655354Z
BLIND-C19,model,template,A,model,beomsu,2026-09-07T09:45:03.674294Z
BLIND-C20,template,model,B,model,beomsu,2026-09-07T09:45:03.684214Z
BLIND-C21,model,template,A,model,beomsu,2026-09-07T09:45:03.690999Z
BLIND-C22,model,template,B,template,beomsu,2026-09-07T09:45:03.700693Z
BLIND-C23,model,template,A,model,beomsu,2026-09-07T09:45:03.708036Z
BLIND-C24,template,model,B,model,beomsu,2026-09-07T09:45:03.716760Z
BLIND-C25,template,model,B,model,beomsu,2026-09-07T09:45:03.729425Z
BLIND-C26,model,template,A,model,beomsu,2026-09-07T09:45:03.738849Z
BLIND-C27,template,model,B,model,beomsu,2026-09-07T09:45:03.751269Z
BLIND-C28,template,model,B,model,beomsu,2026-09-07T09:45:03.759024Z
BLIND-C29,template,model,B,model,beomsu,2026-09-07T09:45:03.767161Z
BLIND-C30,model,template,A,model,beomsu,2026-09-07T09:45:03.774007Z
